147 142 open
c 2659.79 -435.711 42.5659 2659.79 -435.711 42.5659 2659.12 -413.096 42.6814 72.8832 8 freight_group
c 2661.72 -362.887 42.4122 2659.77 -388.821 42.597 2663.67 -336.953 42.2275 83.3884 0
c 2671.51 -280.105 43.0005 2670.11 -307.834 42.9323 2672.91 -252.375 43.0687 83.6489 0
c 2670.11 -196.51 42.822 2671.64 -224.603 42.3582 2668.58 -168.417 43.2858 85.3917 0
c 2662.32 -111.548 45.8329 2663.55 -141.078 44.5343 2661.98 -103.368 46.1926 25.0271 0
c 2661.84 -86.5583 47.0787 2661.85 -95.0161 46.6205 2661.83 -78.548 47.5127 24.2996 0
c 2662.06 -62.2976 48.43 2661.92 -70.4425 47.9738 2662.18 -55.3502 48.8191 20.9285 0
c 2662.45 -41.4036 49.5667 2662.32 -48.3743 49.2047 2662.58 -34.0253 49.9498 22.1023 0
c 2662.73 -19.3281 50.6134 2662.69 -26.653 50.3066 2662.81 -4.17732 51.2479 45.1855 0
c 2662.99 25.8408 51.7531 2662.9 10.746 51.5348 2663.09 41.5548 51.9803 48.1573 0
c 2663.21 73.9911 52.5265 2663.17 57.4548 52.1331 2663.24 89.0878 52.8857 47.7184 0
c 2663.88 121.692 53.6152 2663.65 105.44 53.2218 2664.14 140.342 54.0666 53.5516 0
c 2663.15 175.198 55.3172 2664.17 158.86 54.5935 2662.19 190.493 55.9948 46.5772 0
c 2660.4 221.61 57.9584 2662.09 206.479 56.9524 2658.71 236.727 58.9635 46.5052 0
c 2646.42 265.525 60.7047 2653.73 253.657 59.834 2638.71 278.031 61.6223 43.2906 0
c 2611.84 290.227 64.4985 2626.11 282.835 63.8022 2599.02 296.868 65.124 41.2574 0
c 2578.22 313.556 65.7338 2586.21 303.447 64.8755 2569.95 324.019 66.6222 39.1989 0
c 2561.42 348.515 69.2978 2565.55 334.991 68.0729 2558.84 356.937 70.0605 24.038 0
c 2555.0 371.644 70.5112 2557.17 363.71 70.2288 2552.83 379.58 70.7937 26.1141 0
c 2547.55 396.662 71.2279 2550.4 387.823 71.0009 2542.92 411.062 71.5979 44.5775 0
c 2531.92 438.311 72.2086 2538.75 426.251 71.7643 2525.1 450.368 72.6528 38.3575 0
c 2509.82 469.545 73.3693 2517.7 460.874 72.98 2501.95 478.218 73.7587 32.6924 0
c 2484.82 490.444 74.5647 2493.39 484.725 74.1287 2476.26 496.163 75.0006 29.6808 0
c 2458.42 503.854 75.8479 2467.53 499.849 75.3908 2449.32 507.86 76.3049 30.1814 0
c 2430.21 514.458 77.2987 2439.4 510.865 76.8365 2421.02 518.051 77.7609 29.1223 0
c 2403.26 525.414 78.6521 2411.39 521.922 78.2392 2395.13 528.905 79.065 24.0337 0
c 2381.44 535.409 79.7762 2389.74 531.22 79.3478 2373.14 539.598 80.2046 31.8295 0
c 2353.48 550.547 81.2226 2362.06 545.425 80.7788 2344.91 555.669 81.6665 28.2213 0
c 2330.0 566.14 82.4394 2337.85 560.866 82.0878 2322.15 571.414 82.791 28.5774 0
c 2306.38 582.194 83.3325 2314.36 576.465 82.9722 2298.4 587.923 83.6929 30.4344 0
c 2282.13 600.512 84.6014 2291.61 592.281 83.6873 2272.65 608.743 85.5155 45.2872 0
